,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,단가
26735,부산광역시 해운대구 우동,1388-4,1388,4,대우마리나1,84.2249,201910,17,67000,9,1991,해운대해변로 117,795.4892199337725
25071,부산광역시 동래구 사직동,1041,1041,0,사직롯데캐슬더클래식,59.9024,201910,26,47500,13,2017,아시아드대로146번길 1,792.9565426426988
24701,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,31,33905,7,1984,황령대로 504,789.7740507803401
26736,부산광역시 해운대구 우동,1388-4,1388,4,대우마리나2,84.2249,201910,24,66500,9,1992,해운대해변로 141,789.5527332178489
26279,부산광역시 수영구 남천동,148-4,148,4,삼익비치,60.83,201910,4,48000,6,1979,광안해변로 100,789.0843333881309
26281,부산광역시 수영구 남천동,148-4,148,4,삼익비치,60.83,201910,5,48000,4,1979,광안해변로 100,789.0843333881309
26290,부산광역시 수영구 남천동,148-4,148,4,삼익비치,84.83,201910,11,66800,5,1979,광안해변로 100,787.4572674761288
24699,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,31,33765,2,1984,황령대로 504,786.512928022362
26824,부산광역시 해운대구 우동,1536,1536,0,해운대자이2차 1단지,84.9651,201910,1,66500,8,2018,해운대로469번길 110,782.6742980353109
26744,부산광역시 해운대구 우동,1488,1488,0,대우월드마크센텀,134.69,201910,16,105000,14,2010,센텀동로 25,779.5678966515703
24497,부산광역시 금정구 장전동,745,745,0,래미안장전,114.7362,201910,22,89000,20,2017,금정로 20,775.6924144254385
24493,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8992,201910,19,65600,29,2017,금정로 20,772.6810146620935
26808,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,84.9493,201910,1,65300,3,2013,해운대로 435,768.6937973591307
24499,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,26,46000,4,2017,금정로 20,767.8286473529943
24484,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,201910,5,65000,18,2017,금정로 20,765.6498836212177
26798,부산광역시 해운대구 우동,1544,1544,0,해운대 동백 두산위브더제니스,84.64,201910,11,64700,31,2019,해운대로 540,764.413988657845
26730,부산광역시 해운대구 우동,1388-4,1388,4,대우마리나1,84.2249,201910,4,64300,6,1991,해운대해변로 117,763.4321916677847
25302,부산광역시 부산진구 범전동,263-5,263,5,서면,34.08,201910,18,26000,1,1974,범전로33번길 62-7,762.9107981220658
25293,부산광역시 부산진구 범전동,9-151,9,151,동원,49.82,201910,5,38000,3,1982,양성로 28,762.745885186672
24642,부산광역시 남구 대연동,1903,1903,0,대연 SK VIEW Hills,84.9984,201910,6,64700,23,2018,수영로 261,761.190798885626
24494,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,201910,19,64500,14,2017,금정로 20,759.7602691318236
24486,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,10,45500,5,2017,금정로 20,759.4826837948095
24722,부산광역시 남구 대연동,1858,1858,0,대연힐스테이트푸르지오,59.99,201910,23,45500,27,2013,수영로 345,758.4597432905484
26282,부산광역시 수영구 남천동,148-4,148,4,삼익비치,84.83,201910,5,64000,1,1979,광안해변로 100,754.4500766238359
26742,부산광역시 해운대구 우동,1488,1488,0,대우월드마크센텀,116.69,201910,11,88000,10,2010,센텀동로 25,754.1348873082527
26726,부산광역시 해운대구 우동,1388-1,1388,1,경남마리나,59.83,201910,18,45000,14,1996,해운대해변로 99,752.1310379408324
26804,부산광역시 해운대구 우동,1407,1407,0,해운대두산위브더제니스,157.0176,201910,12,118000,58,2011,마린시티2로 33,751.5081111926307
24485,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,6,45000,3,2017,금정로 20,751.1367202366248
24821,부산광역시 남구 용호동,954,954,0,더블유,117.4219,201910,17,88000,47,2018,분포로 145,749.4343048443263
24489,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,201910,12,63500,9,2017,금정로 20,747.9810401530357
24488,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,201910,12,63500,25,2017,금정로 20,747.9810401530357
24643,부산광역시 남구 대연동,1903,1903,0,대연 SK VIEW Hills,84.9984,201910,19,63500,14,2018,수영로 261,747.0728860778555
26820,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,84.5368,201910,22,63000,12,2013,해운대로 435,745.2375770078829
26534,부산광역시 연제구 연산동,2341,2341,0,연제 롯데캐슬&데시앙,59.94,201910,30,44600,26,2018, ,744.0774107440774
24724,부산광역시 남구 대연동,1858,1858,0,대연힐스테이트푸르지오,59.99,201910,25,44500,12,2013,수영로 345,741.7902983830638
25021,부산광역시 동래구 명륜동,796,796,0,명륜자이,84.9348,201910,4,63000,8,2019,명륜로139번길 22-1,741.7454329674056
26821,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,59.0621,201910,25,43800,2,2013,해운대로 435,741.5923240115065
26817,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,84.5368,201910,18,62600,18,2013,해운대로 435,740.5059098522773
24491,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,201910,15,62700,11,2017,금정로 20,738.5576569700054
26263,부산광역시 수영구 광안동,1330,1330,0,쌍용예가디오션,84.9616,201910,25,62700,10,2014,광안로 20,737.9804523455301
26312,부산광역시 수영구 남천동,148-22,148,22,삼익타워,57.0,201910,26,42000,7,1977,남천동로 46,736.8421052631579
26311,부산광역시 수영구 남천동,148-22,148,22,삼익타워,57.0,201910,18,42000,11,1977,남천동로 46,736.8421052631579
26265,부산광역시 수영구 광안동,199-2,199,2,에이스 로얄 팰리스,17.24,201910,14,12700,15,2019,광남로 102,736.6589327146172
24498,부산광역시 금정구 장전동,745,745,0,래미안장전,84.8952,201910,22,62500,4,2017,금정로 20,736.2018111742477
26289,부산광역시 수영구 남천동,148-4,148,4,삼익비치,115.6,201910,10,85000,6,1979,광안해변로 100,735.2941176470589
24710,부산광역시 남구 대연동,1858,1858,0,대연힐스테이트푸르지오,59.99,201910,8,44000,13,2013,수영로 345,733.4555759293215
25065,부산광역시 동래구 사직동,1041,1041,0,사직롯데캐슬더클래식,84.8927,201910,11,62200,24,2017,아시아드대로146번길 1,732.6896187775862
24704,부산광역시 남구 대연동,1858,1858,0,대연힐스테이트푸르지오,102.38,201910,2,75000,35,2013,수영로 345,732.5649540925963
